Disease,Sample_Count
osteoporosis,378
endometriosis,378
ulcerative colitis,377
crohn disease,376
missed abortion,375
paroxysmal supraventricular tachycardia,375
hepatitis due to a toxin,357
nasal polyp,356
alcohol intoxication,351
cardiac arrest,346
vitreous degeneration,341
abscess of the pharynx,341
ectopic pregnancy,341
temporomandibular joint disorder,341
alopecia,340
hydronephrosis,340
cranial nerve palsy,340
dementia,339
colonic polyp,339
tonsillar hypertrophy,339
pilonidal cyst,339
trichomonas infection,339
asperger syndrome,338
scleroderma,338
bladder obstruction,338
lateral epicondylitis (tennis elbow),337
venous insufficiency,336
alzheimer disease,336
jaw disorder,336
impulse control disorder,335
tietze syndrome,333
mononucleosis,331
cirrhosis,331
anemia,331
drug abuse (methamphetamine),330
sarcoidosis,330
atrophic vaginitis,329
fluid overload,327
head and neck cancer,326
premature ventricular contractions (pvcs),325
intracranial hemorrhage,322
astigmatism,321
urethral disorder,315
cardiomyopathy,311
vasculitis,299
meningitis,297
chronic pancreatitis,297
pneumothorax,296
abscess of nose,290
mucositis,289
induced abortion,287
restless leg syndrome,283
ischemia of the bowel,283
orthostatic hypotension,283
kidney failure,282
drug abuse (cocaine),281
meniere disease,281
foreign body in the eye,281
retinal detachment,280
torticollis,280
nerve impingement near the shoulder,280
urethral stricture,279
tinnitus of unknown cause,279
tension headache,279
melanoma,271
fracture of the vertebra,270
polycystic ovarian syndrome (pcos),268
heat exhaustion,264
arrhythmia,258
scar,256
stress incontinence,255
bone disorder,255
drug withdrawal,255
subconjunctival hemorrhage,249
graves disease,248
alcoholic liver disease,246
peritonsillar abscess,246
aphthous ulcer,244
genital herpes,242
atrial flutter,240
deep vein thrombosis (dvt),240
brain cancer,227
hydrocele of the testicle,227
anal fissure,226
sickle cell anemia,226
migraine,221
premature atrial contractions (pacs),220
uterine atony,219
preeclampsia,217
thyroid nodule,216
pterygium,215
substance-related mental disorder,213
presbyopia,212
overflow incontinence,212
lyme disease,211
osteochondroma,211
acute glaucoma,210
drug poisoning due to medication,208
benign kidney cyst,206
pancreatic cancer,204
trigeminal neuralgia,201
plantar fasciitis,199
female genitalia infection,197
essential tremor,195
poisoning due to gas,194
cold sore,192
primary insomnia,190
tracheitis,189
panic attack,188
osteomyelitis,188
scabies,187
persistent vomiting of unknown cause,186
narcolepsy,186
pulmonary eosinophilia,185
fracture of the pelvis,184
polycystic kidney disease,183
injury of the ankle,182
malignant hypertension,181
thoracic outlet syndrome,180
gastroparesis,179
soft tissue sarcoma,171
scoliosis,171
orbital cellulitis,170
chronic rheumatic fever,169
headache after lumbar puncture,169
thoracic aortic aneurysm,168
psychosexual disorder,168
broken tooth,165
chlamydia,165
head injury,164
fracture of the shoulder,162
intestinal malabsorption,161
vulvar disorder,160
systemic lupus erythematosis (sle),159
sick sinus syndrome,158
lumbago,156
foreign body in the throat,156
hydrocephalus,155
stomach cancer,155
conjunctivitis due to bacteria,154
celiac disease,151
chronic knee pain,150
pericarditis,147
mastoiditis,144
subarachnoid hemorrhage,140
cerebral palsy,139
subdural hemorrhage,139
hidradenitis suppurativa,139
retinopathy due to high blood pressure,138
cellulitis or abscess of mouth,138
male genitalia infection,138
abdominal aortic aneurysm,138
myositis,137
lactose intolerance,137
perirectal infection,137
premenstrual tension syndrome,137
polymyalgia rheumatica,136
peripheral arterial embolism,135
prostate cancer,135
myasthenia gravis,134
lymphoma,133
injury to internal organ,131
gonorrhea,131
foreign body in the gastrointestinal tract,127
down syndrome,127
thrombocytopenia,126
injury to the hand,126
poisoning due to sedatives,126
bladder cancer,125
pulmonary fibrosis,118
varicose veins,113
peripheral arterial disease,113
coronary atherosclerosis,112
fracture of the hand,111
rotator cuff injury,111
postoperative infection,111
osteochondrosis,109
hyperopia,108
knee ligament or meniscus tear,106
intertrigo (skin condition),105
cerebral edema,104
chickenpox,104
stenosis of the tear duct,102
atelectasis,99
idiopathic nonmenstrual bleeding,98
cervical cancer,97
fibroadenoma,97
poisoning due to antimicrobial drugs,97
open wound of the mouth,95
encephalitis,94
de quervain disease,92
sjogren syndrome,92
dissociative disorder,91
scarlet fever,90
testicular torsion,90
vocal cord polyp,90
coagulation (bleeding) disorder,90
carbon monoxide poisoning,88
endometrial cancer,88
trigger finger (finger disorder),87
tic (movement) disorder,87
pinworm infection,87
stricture of the esophagus,86
autonomic nervous system disorder,84
dislocation of the elbow,84
achalasia,84
extrapyramidal effect of drugs,83
gynecomastia,83
bone cancer,83
dyshidrosis,83
endocarditis,83
spina bifida,82
spermatocele,81
vitamin b12 deficiency,80
kidney cancer,80
fracture of the patella,79
toxic multinodular goiter,79
lewy body dementia,79
somatization disorder,79
vaginismus,77
esophageal cancer,77
chorioretinitis,76
menopause,76
goiter,75
fracture of the jaw,75
epilepsy,75
parasitic disease,74
hypothyroidism,74
hypernatremia,74
adhesive capsulitis of the shoulder,73
ascending cholangitis,72
pityriasis rosea,71
atonic bladder,71
aplastic anemia,70
central retinal artery or vein occlusion,69
atrial fibrillation,68
ovarian torsion,67
poisoning due to analgesics,66
lice,65
fracture of the skull,65
dislocation of the shoulder,64
injury to the abdomen,64
protein deficiency,64
crushing injury,63
nonalcoholic liver disease (nash),62
drug abuse (barbiturates),62
septic arthritis,62
salivary gland disorder,62
hydatidiform mole,62
testicular disorder,61
endophthalmitis,61
amyotrophic lateral sclerosis (als),60
phimosis,60
hematoma,60
lichen simplex,59
guillain barre syndrome,57
burn,57
hypertension of pregnancy,56
presbyacusis,55
hormone disorder,55
mittelschmerz,53
injury to the knee,53
chondromalacia of the patella,53
lung cancer,51
multiple myeloma,51
anemia due to chronic kidney disease,50
idiopathic infrequent menstruation,50
endometrial hyperplasia,49
intestinal cancer,49
polycythemia vera,49
liver cancer,49
premature ovarian failure,48
pseudotumor cerebri,48
amblyopia,47
atrophy of the corpus cavernosum,47
scleritis,46
hypocalcemia,46
hepatic encephalopathy,45
dislocation of the wrist,45
muscular dystrophy,45
mumps,45
folate deficiency,44
erythema multiforme,43
cervical disorder,43
whooping cough,43
fracture of the neck,41
poisoning due to anticonvulsants,41
anemia of chronic disease,40
neuropathy due to drugs,40
allergy to animals,39
ectropion,38
bunion,38
dislocation of the vertebra,38
cysticercosis,36
congenital heart defect,36
fracture of the ankle,36
acariasis,36
primary immunodeficiency,36
adrenal adenoma,35
magnesium deficiency,35
urethral valves,35
viral hepatitis,35
infection of open wound,35
metabolic disorder,34
primary kidney disease,34
neonatal jaundice,34
juvenile rheumatoid arthritis,33
open wound of the ear,33
flat feet,33
open wound of the neck,32
open wound of the eye,32
cholesteatoma,31
hirsutism,31
emphysema,31
tourette syndrome,31
bone spur of the calcaneous,31
neurofibromatosis,30
subacute thyroiditis,30
acanthosis nigricans,30
trichiasis,30
pituitary disorder,30
syphilis,30
injury to the spinal cord,29
pituitary adenoma,29
poisoning due to antidepressants,29
female infertility of unknown cause,28
metastatic cancer,27
vitreous hemorrhage,27
hemolytic anemia,27
open wound of the foot,27
open wound of the lip,26
normal pressure hydrocephalus,26
gestational diabetes,26
foreign body in the ear,25
floaters,24
hyperhidrosis,24
poisoning due to ethylene glycol,24
tuberculosis,23
vertebrobasilar insufficiency,23
breast cyst,22
foreign body in the vagina,21
peyronie disease,21
hemophilia,21
dislocation of the ankle,21
anal fistula,20
lymphogranuloma venereum,20
conversion disorder,20
otosclerosis,19
uveitis,19
ovarian cancer,19
pharyngitis,19
abscess of the lung,19
ependymoma,19
dislocation of the foot,19
hirschsprung disease,19
meningioma,18
cyst of the eyelid,18
parathyroid adenoma,18
chronic inflammatory demyelinating polyneuropathy (cidp),18
dislocation of the finger,18
central atherosclerosis,18
poisoning due to antihypertensives,17
glucocorticoid deficiency,17
kidney disease due to longstanding hypertension,17
vitamin d deficiency,17
mastectomy,17
thyroid disease,17
rhabdomyolysis,16
pyloric stenosis,16
injury to the hip,16
malaria,15
lung contusion,15
colorectal cancer,15
cystic fibrosis,15
pneumoconiosis,14
placental abruption,14
fracture of the foot,14
syringomyelia,14
fibrocystic breast disease,14
wilson disease,14
pregnancy,13
congenital malformation syndrome,13
factitious disorder,13
hpv,13
hypothermia,13
pseudohypoparathyroidism,12
diabetes insipidus,12
toxoplasmosis,12
anemia due to malignancy,12
intracranial abscess,12
moyamoya disease,12
frostbite,12
raynaud disease,12
volvulus,11
myoclonus,11
pulmonic valve disease,11
cryptococcosis,11
open wound of the nose,11
heart contusion,11
birth trauma,11
galactorrhea of unknown cause,11
zenker diverticulum,11
aspergillosis,10
trichinosis,10
open wound of the arm,10
granuloma inguinale,10
epidural hemorrhage,10
poisoning due to antipsychotics,10
hypercalcemia,10
avascular necrosis,10
leukemia,10
testicular cancer,10
vesicoureteral reflux,10
chronic kidney disease,10
optic neuritis,10
decubitus ulcer,10
reactive arthritis,10
acute fatty liver of pregnancy (aflp),9
valley fever,9
placenta previa,9
hemarthrosis,9
insulin overdose,9
open wound of the back,9
cushing syndrome,9
aphakia,9
poisoning due to opioids,9
lichen planus,9
hammer toe,9
thyroid cancer,9
premature rupture of amniotic membrane,9
vacterl syndrome,9
tricuspid valve disease,9
fracture of the finger,8
spinocerebellar ataxia,8
hypercholesterolemia,8
fetal alcohol syndrome,7
open wound from surgical incision,7
omphalitis,7
pemphigus,7
injury to the finger,7
hypertrophic obstructive cardiomyopathy (hocm),6
vulvar cancer,6
wernicke korsakoff syndrome,6
dislocation of the hip,6
g6pd enzyme deficiency,6
breast cancer,6
pinguecula,6
blepharospasm,6
priapism,6
tuberous sclerosis,6
edward syndrome,6
empyema,6
pelvic fistula,5
hyperosmotic hyperketotic state,5
histoplasmosis,5
cryptorchidism,5
spherocytosis,5
vitamin a deficiency,5
uterine cancer,5
von willebrand disease,5
friedrich ataxia,5
syndrome of inappropriate secretion of adh (siadh),4
scurvy,4
open wound of the shoulder,4
open wound of the hand,4
open wound of the finger,4
intussusception,4
meckel diverticulum,4
oral leukoplakia,4
amyloidosis,4
dumping syndrome,4
myelodysplastic syndrome,3
cat scratch disease,3
sporotrichosis,3
esophageal varices,3
adrenal cancer,3
hemochromatosis,3
dislocation of the knee,3
obesity,3
dislocation of the patella,3
open wound of the abdomen,3
necrotizing fasciitis,3
connective tissue disorder,3
lymphangitis,3
primary thrombocythemia,3
open wound of the face,3
dengue fever,3
hyperlipidemia,3
carcinoid syndrome,2
open wound of the jaw,2
diabetic kidney disease,2
hashimoto thyroiditis,2
human immunodeficiency virus infection (hiv),2
rheumatic fever,2
gas gangrene,1
heat stroke,1
thalassemia,1
open wound of the head,1
myocarditis,1
rocky mountain spotted fever,1
turner syndrome,1
open wound of the cheek,1
high blood pressure,1
open wound due to trauma,1
open wound of the chest,1
diabetes,1
foreign body in the nose,1
open wound of the knee,1
huntington disease,1
typhoid fever,1
chronic ulcer,1
hypergammaglobulinemia,1
kaposi sarcoma,1
